person,as_of_date,ticker,value_usd,source
Warren Buffett,2025-12-31,AXP,56088378465,SEC 13F-HR 2026-02-17 https://www.sec.gov/Archives/edgar/data/1067983/000119312526054580/d251632d13fhr.htm
Warren Buffett,2025-12-31,AAPL,38268369638,SEC 13F-HR 2026-02-17 https://www.sec.gov/Archives/edgar/data/1067983/000119312526054580/d251632d13fhr.htm
Warren Buffett,2025-12-31,BAC,28451276370,SEC 13F-HR 2026-02-17 https://www.sec.gov/Archives/edgar/data/1067983/000119312526054580/d251632d13fhr.htm
Warren Buffett,2025-12-31,KO,27964000000,SEC 13F-HR 2026-02-17 https://www.sec.gov/Archives/edgar/data/1067983/000119312526054580/d251632d13fhr.htm
Warren Buffett,2025-12-31,CVX,19837131131,SEC 13F-HR 2026-02-17 https://www.sec.gov/Archives/edgar/data/1067983/000119312526054580/d251632d13fhr.htm
Warren Buffett,2025-12-31,MCO,12565723807,SEC 13F-HR 2026-02-17 https://www.sec.gov/Archives/edgar/data/1067983/000119312526054580/d251632d13fhr.htm
Warren Buffett,2025-12-31,OXY,10894391643,SEC 13F-HR 2026-02-17 https://www.sec.gov/Archives/edgar/data/1067983/000119312526054580/d251632d13fhr.htm
Warren Buffett,2025-12-31,CB,10689854998,SEC 13F-HR 2026-02-17 https://www.sec.gov/Archives/edgar/data/1067983/000119312526054580/d251632d13fhr.htm
Warren Buffett,2025-12-31,KHC,7896644337,SEC 13F-HR 2026-02-17 https://www.sec.gov/Archives/edgar/data/1067983/000119312526054580/d251632d13fhr.htm
Warren Buffett,2025-12-31,GOOGL,5585842446,SEC 13F-HR 2026-02-17 https://www.sec.gov/Archives/edgar/data/1067983/000119312526054580/d251632d13fhr.htm
Warren Buffett,2025-12-31,V,3778737705,SEC 13F-HR 2026-02-17 https://www.sec.gov/Archives/edgar/data/1067983/000119312526054580/d251632d13fhr.htm
Warren Buffett,2025-12-31,DVA,3608147375,SEC 13F-HR 2026-02-17 https://www.sec.gov/Archives/edgar/data/1067983/000119312526054580/d251632d13fhr.htm
Warren Buffett,2025-12-31,MA,2275897610,SEC 13F-HR 2026-02-17 https://www.sec.gov/Archives/edgar/data/1067983/000119312526054580/d251632d13fhr.htm
Warren Buffett,2025-12-31,AMZN,525346320,SEC 13F-HR 2026-02-17 https://www.sec.gov/Archives/edgar/data/1067983/000119312526054580/d251632d13fhr.htm
Nancy Pelosi,2024-12-31,AAPL,37500000,House FD 10066169 midpoint from reported range https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2024/10066169.pdf
Nancy Pelosi,2024-12-31,GOOGL,15000000,House FD 10066169 midpoint from reported range https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2024/10066169.pdf
Nancy Pelosi,2024-12-31,AMZN,15000000,House FD 10066169 midpoint from reported range https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2024/10066169.pdf
